Geneid	CO2	avg.z	locus
gene-SYNPCC7002_RS04925	4	0.25366279543223075	32049.SYNPCC7002_A0987
gene-SYNPCC7002_RS04925	8	0.1653686546637026	32049.SYNPCC7002_A0987
gene-SYNPCC7002_RS04925	30	1.0686808977095408	32049.SYNPCC7002_A0987
gene-SYNPCC7002_RS04935	0.04	-1.5688124100859346	32049.SYNPCC7002_A0989
gene-SYNPCC7002_RS04935	4	0.4463642892953945	32049.SYNPCC7002_A0989
gene-SYNPCC7002_RS04935	8	0.5710982123555143	32049.SYNPCC7002_A0989
gene-SYNPCC7002_RS04935	30	0.5513499084350055	32049.SYNPCC7002_A0989
gene-SYNPCC7002_RS04945	0.04	-1.491239601379019	32049.SYNPCC7002_A0991
gene-SYNPCC7002_RS04945	4	0.3222401612225179	32049.SYNPCC7002_A0991
gene-SYNPCC7002_RS04945	8	0.8315162726987023	32049.SYNPCC7002_A0991
gene-SYNPCC7002_RS04945	30	0.3374831674578168	32049.SYNPCC7002_A0991
gene-SYNPCC7002_RS04950	0.04	-1.6303161490208302	32049.SYNPCC7002_A0992
gene-SYNPCC7002_RS04950	4	0.5597439260438083	32049.SYNPCC7002_A0992
gene-SYNPCC7002_RS04950	8	0.6875846386756356	32049.SYNPCC7002_A0992
gene-SYNPCC7002_RS04950	30	0.3829875843013953	32049.SYNPCC7002_A0992
gene-SYNPCC7002_RS04955	0.04	-1.4505901464998663	32049.SYNPCC7002_A0993
gene-SYNPCC7002_RS04955	4	0.026418913803482963	32049.SYNPCC7002_A0993
gene-SYNPCC7002_RS04955	8	0.28624122929056417	32049.SYNPCC7002_A0993
gene-SYNPCC7002_RS04955	30	1.1379300034058377	32049.SYNPCC7002_A0993
gene-SYNPCC7002_RS04960	0.04	-1.432315183633889	32049.SYNPCC7002_A0994
gene-SYNPCC7002_RS04960	4	0.2812402842489308	32049.SYNPCC7002_A0994
gene-SYNPCC7002_RS04960	8	-0.05322672890700805	32049.SYNPCC7002_A0994
gene-SYNPCC7002_RS04960	30	1.2043016282919752	32049.SYNPCC7002_A0994
gene-SYNPCC7002_RS04965	0.04	1.566096059151532	32049.SYNPCC7002_A0995
gene-SYNPCC7002_RS04965	4	-0.5019427167906176	32049.SYNPCC7002_A0995
gene-SYNPCC7002_RS04965	8	-0.7702410174267387	32049.SYNPCC7002_A0995
gene-SYNPCC7002_RS04965	30	-0.29391232493417196	32049.SYNPCC7002_A0995
gene-SYNPCC7002_RS04975	0.04	0.48005916313567476	32049.SYNPCC7002_A0997
gene-SYNPCC7002_RS04975	4	0.644411332361997	32049.SYNPCC7002_A0997
gene-SYNPCC7002_RS04975	8	-0.14386183769245214	32049.SYNPCC7002_A0997
gene-SYNPCC7002_RS04975	30	-0.9806086578052282	32049.SYNPCC7002_A0997
gene-SYNPCC7002_RS04985	0.04	-1.293383652495751	32049.SYNPCC7002_A0999
gene-SYNPCC7002_RS04985	4	-0.19979309327609274	32049.SYNPCC7002_A0999
gene-SYNPCC7002_RS04985	8	0.7685130843527475	32049.SYNPCC7002_A0999
gene-SYNPCC7002_RS04985	30	0.724663661419136	32049.SYNPCC7002_A0999
gene-SYNPCC7002_RS04990	0.04	0.10663129886654865	32049.SYNPCC7002_A1000
gene-SYNPCC7002_RS04990	4	-0.8124247757532377	32049.SYNPCC7002_A1000
gene-SYNPCC7002_RS04990	8	-0.8153700787531062	32049.SYNPCC7002_A1000
gene-SYNPCC7002_RS04990	30	1.5211635556397833	32049.SYNPCC7002_A1000
